Week,Date Range,Meal,Dish Name,Quantity (kg)
Aug2023_week1,01/08/2023-07/08/2023,Breakfast,Aloo Paratha,93.32
Aug2023_week1,01/08/2023-07/08/2023,Breakfast,Chole Bhature,117.07
Aug2023_week1,01/08/2023-07/08/2023,Breakfast,Poha,117.2
Aug2023_week1,01/08/2023-07/08/2023,Lunch,Dal Tadka,206.24
Aug2023_week1,01/08/2023-07/08/2023,Lunch,Sambar,234.17
Aug2023_week1,01/08/2023-07/08/2023,Lunch,Rajma,242.73
Aug2023_week1,01/08/2023-07/08/2023,Dinner,Shahi Paneer,297.46
Aug2023_week1,01/08/2023-07/08/2023,Dinner,Dal Makhani,311.08
Aug2023_week1,01/08/2023-07/08/2023,Dinner,Chana Masala,349.99
Aug2023_week2,08/08/2023-14/08/2023,Breakfast,Samosa,76.76
Aug2023_week2,08/08/2023-14/08/2023,Breakfast,Aloo Paratha,92.09
Aug2023_week2,08/08/2023-14/08/2023,Breakfast,Idli,93.23
Aug2023_week2,08/08/2023-14/08/2023,Lunch,Mixed Vegetables,214.45
Aug2023_week2,08/08/2023-14/08/2023,Lunch,Dal Tadka,285.24
Aug2023_week2,08/08/2023-14/08/2023,Lunch,Sambar,285.76
Aug2023_week2,08/08/2023-14/08/2023,Dinner,Aloo Gobi,296.89
Aug2023_week2,08/08/2023-14/08/2023,Dinner,Shahi Paneer,297.15
Aug2023_week2,08/08/2023-14/08/2023,Dinner,Bhindi Fry,302.72
Aug2023_week3,15/08/2023-21/08/2023,Breakfast,Upma,72.91
Aug2023_week3,15/08/2023-21/08/2023,Breakfast,Chole Bhature,123.2
Aug2023_week3,15/08/2023-21/08/2023,Breakfast,Samosa,148.08
Aug2023_week3,15/08/2023-21/08/2023,Lunch,Rajma,307.81
Aug2023_week3,15/08/2023-21/08/2023,Lunch,Mixed Vegetables,411.66
Aug2023_week3,15/08/2023-21/08/2023,Lunch,Palak Paneer,414.74
Aug2023_week3,15/08/2023-21/08/2023,Dinner,Paneer Tikka,537.55
Aug2023_week3,15/08/2023-21/08/2023,Dinner,Chana Masala,556.66
Aug2023_week3,15/08/2023-21/08/2023,Dinner,Shahi Paneer,584.05
Aug2023_week4,22/08/2023-28/08/2023,Breakfast,Aloo Paratha,44.89
Aug2023_week4,22/08/2023-28/08/2023,Breakfast,Medu Vada,58.94
Aug2023_week4,22/08/2023-28/08/2023,Breakfast,Dosa,88.19
Aug2023_week4,22/08/2023-28/08/2023,Lunch,Rasam,207.77
Aug2023_week4,22/08/2023-28/08/2023,Lunch,Dal Tadka,217.23
Aug2023_week4,22/08/2023-28/08/2023,Lunch,Rajma,239.12
Aug2023_week4,22/08/2023-28/08/2023,Dinner,Shahi Paneer,280.6
Aug2023_week4,22/08/2023-28/08/2023,Dinner,Bhindi Fry,311.53
Aug2023_week4,22/08/2023-28/08/2023,Dinner,Aloo Gobi,312.24
Aug2023_week5,29/08/2023-31/08/2023,Breakfast,Aloo Paratha,44.27
Aug2023_week5,29/08/2023-31/08/2023,Breakfast,Upma,73.18
Aug2023_week5,29/08/2023-31/08/2023,Breakfast,Samosa,73.49
Aug2023_week5,29/08/2023-31/08/2023,Lunch,Dal Tadka,212.43
Aug2023_week5,29/08/2023-31/08/2023,Lunch,Rajma,216.1
Aug2023_week5,29/08/2023-31/08/2023,Lunch,Palak Paneer,220.5
Aug2023_week5,29/08/2023-31/08/2023,Dinner,Bhindi Fry,292.12
Aug2023_week5,29/08/2023-31/08/2023,Dinner,Paneer Tikka,294.48
Aug2023_week5,29/08/2023-31/08/2023,Dinner,Shahi Paneer,312.56
Sep2023_week1,01/09/2023-07/09/2023,Breakfast,Poha,58.18
Sep2023_week1,01/09/2023-07/09/2023,Breakfast,Dosa,93.51
