Month,Meal,Most Consumed Dishes (kg),Least Consumed Dishes (kg)
Aug2023,Breakfast,Idli: 1188.66; Puri: 963.69; Dosa: 900.74,Aloo Paratha: 451.39; Medu Vada: 487.99; Samosa: 523.43
Aug2023,Lunch,Rice: 8437.19; Palak Paneer: 2750.57; Chole: 2298.43,Sambar: 1225.55; Curd Rice: 1575.28; Dal Tadka: 1710.53
Aug2023,Dinner,Roti: 9489.48; Paneer Tikka: 3504.42; Bhindi Fry: 2691.34,Shahi Paneer: 1771.82; Aloo Gobi: 1969.02; Chana Masala: 2075.70
Sep2023,Breakfast,Idli: 1257.58; Upma: 896.91; Samosa: 818.73,Aloo Paratha: 319.91; Poha: 423.87; Dosa: 450.91
Sep2023,Lunch,Rice: 8377.57; Rajma: 2998.19; Rasam: 2002.60,Sambar: 1470.69; Mixed Vegetables: 1485.82; Palak Paneer: 1513.73
Sep2023,Dinner,Roti: 9094.58; Bhindi Fry: 3283.04; Chana Masala: 3269.32,Paneer Tikka: 805.27; Tandoori Roti: 1511.33; Dal Makhani: 1552.13
Oct2023,Breakfast,Samosa: 902.24; Dosa: 841.57; Upma: 734.49,Medu Vada: 374.54; Aloo Paratha: 409.82; Chole Bhature: 440.81
Oct2023,Lunch,Rice: 6725.34; Mixed Vegetables: 2644.56; Curd Rice: 2360.61,Rasam: 141.43; Rajma: 915.58; Chole: 1202.06
Oct2023,Dinner,Roti: 7540.13; Chana Masala: 2993.19; Aloo Gobi: 2478.77,Paneer Butter Masala: 932.81; Bhindi Fry: 1108.36; Shahi Paneer: 1588.34
Nov2023,Breakfast,Upma: 999.07; Dosa: 842.90; Idli: 800.17,Medu Vada: 257.55; Samosa: 355.35; Poha: 396.43
Nov2023,Lunch,Rice: 6837.87; Rajma: 2485.05; Rasam: 2396.16,Chole: 703.80; Curd Rice: 905.67; Sambar: 1195.46
Nov2023,Dinner,Roti: 7919.87; Tandoori Roti: 3066.12; Paneer Butter Masala: 2766.30,Aloo Gobi: 881.18; Paneer Tikka: 985.16; Dal Makhani: 1163.94
Dec2023,Breakfast,Dosa: 1096.42; Idli: 914.58; Puri: 910.82,Chole Bhature: 181.61; Upma: 224.03; Aloo Paratha: 285.41
Dec2023,Lunch,Rice: 6579.13; Sambar: 2174.13; Rasam: 1992.01,Curd Rice: 734.23; Dal Tadka: 1019.10; Rajma: 1174.38
Dec2023,Dinner,Roti: 7542.84; Dal Makhani: 2566.41; Paneer Butter Masala: 2542.66,Tandoori Roti: 626.16; Chana Masala: 975.97; Aloo Gobi: 1214.86
Jan2024,Breakfast,Samosa: 852.41; Puri: 838.73; Upma: 796.60,Dosa: 248.17; Aloo Paratha: 426.73; Chole Bhature: 557.66
Jan2024,Lunch,Rice: 7779.67; Mixed Vegetables: 2916.49; Palak Paneer: 2260.36,Rajma: 921.50; Sambar: 1224.99; Dal Tadka: 1322.87
Jan2024,Dinner,Roti: 8767.26; Tandoori Roti: 3882.31; Dal Makhani: 2849.99,Shahi Paneer: 1290.32; Chana Masala: 1506.34; Aloo Gobi: 1520.98
Feb2024,Breakfast,Samosa: 861.96; Upma: 725.39; Dosa: 694.04,Aloo Paratha: 413.88; Chole Bhature: 463.00; Idli: 481.98
Feb2024,Lunch,Rice: 6764.47; Dal Tadka: 2838.53; Curd Rice: 1888.57,Palak Paneer: 862.22; Sambar: 1073.00; Rasam: 1136.00
Feb2024,Dinner,Roti: 7797.95; Chana Masala: 3154.42; Shahi Paneer: 2189.11,Aloo Gobi: 1483.57; Paneer Butter Masala: 1609.32; Tandoori Roti: 1722.49
Mar2024,Breakfast,Idli: 893.55; Chole Bhature: 874.17; Upma: 827.69,Medu Vada: 319.71; Dosa: 439.71; Poha: 459.17
Mar2024,Lunch,Rice: 7890.46; Curd Rice: 2914.27; Dal Tadka: 2182.32,Palak Paneer: 904.12; Rajma: 1129.87; Rasam: 1539.50
Mar2024,Dinner,Roti: 8783.05; Aloo Gobi: 3064.73; Dal Makhani: 2950.66,Chana Masala: 1073.43; Shahi Paneer: 1173.23; Tandoori Roti: 1609.76
Apr2024,Breakfast,Upma: 819.47; Dosa: 804.77; Poha: 786.68,Chole Bhature: 535.68; Medu Vada: 547.00; Aloo Paratha: 583.88
Apr2024,Lunch,Rice: 8228.81; Sambar: 2727.84; Rajma: 2294.11,Curd Rice: 1078.56; Dal Tadka: 1381.78; Rasam: 1553.04
Apr2024,Dinner,Roti: 9099.88; Aloo Gobi: 3783.90; Paneer Tikka: 3002.27,Bhindi Fry: 1196.60; Tandoori Roti: 1767.54; Dal Makhani: 1805.84
May2024,Breakfast,Upma: 1141.64; Idli: 1087.31; Puri: 1046.66,Aloo Paratha: 353.26; Poha: 353.95; Medu Vada: 539.25
May2024,Lunch,Rice: 8646.41; Palak Paneer: 2517.63; Curd Rice: 2158.44,Dal Tadka: 1418.30; Mixed Vegetables: 1464.89; Rasam: 1636.99
May2024,Dinner,Roti: 10201.39; Paneer Butter Masala: 3701.32; Shahi Paneer: 3695.95,Bhindi Fry: 902.35; Chana Masala: 1197.66; Paneer Tikka: 1559.19
Jun2024,Breakfast,Dosa: 990.38; Idli: 989.76; Puri: 901.76,Aloo Paratha: 309.76; Poha: 483.11; Samosa: 518.02
Jun2024,Lunch,Rice: 8181.49; Mixed Vegetables: 2729.40; Chole: 2246.16,Rajma: 1204.72; Curd Rice: 1364.78; Sambar: 1555.94
Jun2024,Dinner,Roti: 9159.31; Bhindi Fry: 3161.52; Shahi Paneer: 2539.91,Chana Masala: 1766.18; Paneer Tikka: 1781.90; Paneer Butter Masala: 2167.46
Jul2024,Breakfast,Dosa: 1066.20; Upma: 1046.77; Puri: 988.31,Medu Vada: 423.29; Chole Bhature: 485.47; Aloo Paratha: 496.56
Jul2024,Lunch,Rice: 8516.59; Curd Rice: 2209.29; Sambar: 2195.63,Rasam: 1359.09; Rajma: 1770.12; Dal Tadka: 1866.25
Jul2024,Dinner,Roti: 9550.43; Paneer Tikka: 4043.60; Bhindi Fry: 3909.61,Chana Masala: 1125.04; Aloo Gobi: 1167.49; Paneer Butter Masala: 1205.41
Aug2024,Breakfast,Idli: 1253.70; Dosa: 1167.38; Upma: 820.11,Medu Vada: 358.50; Puri: 513.70; Aloo Paratha: 544.22
Aug2024,Lunch,Rice: 8524.70; Chole: 2490.90; Mixed Vegetables: 2112.20,Sambar: 1232.65; Rasam: 1467.26; Dal Tadka: 1518.02
