Month,Meal,Dish Name,Quantity (kg)
Aug2023,Breakfast,Idli,1188.66
Aug2023,Breakfast,Puri,963.69
Aug2023,Breakfast,Dosa,900.74
Aug2023,Lunch,Rice,8437.19
Aug2023,Lunch,Palak Paneer,2750.57
Aug2023,Lunch,Chole,2298.43
Aug2023,Dinner,Roti,9489.48
Aug2023,Dinner,Paneer Tikka,3504.42
Aug2023,Dinner,Bhindi Fry,2691.34
Sep2023,Breakfast,Idli,1257.58
Sep2023,Breakfast,Upma,896.91
Sep2023,Breakfast,Samosa,818.73
Sep2023,Lunch,Rice,8377.57
Sep2023,Lunch,Rajma,2998.19
Sep2023,Lunch,Rasam,2002.6
Sep2023,Dinner,Roti,9094.58
Sep2023,Dinner,Bhindi Fry,3283.04
Sep2023,Dinner,Chana Masala,3269.32
Oct2023,Breakfast,Samosa,902.24
Oct2023,Breakfast,Dosa,841.57
Oct2023,Breakfast,Upma,734.49
Oct2023,Lunch,Rice,6725.34
Oct2023,Lunch,Mixed Vegetables,2644.56
Oct2023,Lunch,Curd Rice,2360.61
Oct2023,Dinner,Roti,7540.13
Oct2023,Dinner,Chana Masala,2993.19
Oct2023,Dinner,Aloo Gobi,2478.77
Nov2023,Breakfast,Upma,999.07
Nov2023,Breakfast,Dosa,842.9
Nov2023,Breakfast,Idli,800.17
Nov2023,Lunch,Rice,6837.87
Nov2023,Lunch,Rajma,2485.05
Nov2023,Lunch,Rasam,2396.16
Nov2023,Dinner,Roti,7919.87
Nov2023,Dinner,Tandoori Roti,3066.12
Nov2023,Dinner,Paneer Butter Masala,2766.3
Dec2023,Breakfast,Dosa,1096.42
Dec2023,Breakfast,Idli,914.58
Dec2023,Breakfast,Puri,910.82
Dec2023,Lunch,Rice,6579.13
Dec2023,Lunch,Sambar,2174.13
Dec2023,Lunch,Rasam,1992.01
Dec2023,Dinner,Roti,7542.84
Dec2023,Dinner,Dal Makhani,2566.41
Dec2023,Dinner,Paneer Butter Masala,2542.66
Jan2024,Breakfast,Samosa,852.41
Jan2024,Breakfast,Puri,838.73
Jan2024,Breakfast,Upma,796.6
Jan2024,Lunch,Rice,7779.67
Jan2024,Lunch,Mixed Vegetables,2916.49
Jan2024,Lunch,Palak Paneer,2260.36
Jan2024,Dinner,Roti,8767.26
Jan2024,Dinner,Tandoori Roti,3882.31
Jan2024,Dinner,Dal Makhani,2849.99
Feb2024,Breakfast,Samosa,861.96
Feb2024,Breakfast,Upma,725.39
Feb2024,Breakfast,Dosa,694.04
Feb2024,Lunch,Rice,6764.47
Feb2024,Lunch,Dal Tadka,2838.53
Feb2024,Lunch,Curd Rice,1888.57
Feb2024,Dinner,Roti,7797.95
Feb2024,Dinner,Chana Masala,3154.42
Feb2024,Dinner,Shahi Paneer,2189.11
Mar2024,Breakfast,Idli,893.55
Mar2024,Breakfast,Chole Bhature,874.17
Mar2024,Breakfast,Upma,827.69
Mar2024,Lunch,Rice,7890.46
Mar2024,Lunch,Curd Rice,2914.27
Mar2024,Lunch,Dal Tadka,2182.32
Mar2024,Dinner,Roti,8783.05
Mar2024,Dinner,Aloo Gobi,3064.73
Mar2024,Dinner,Dal Makhani,2950.66
Apr2024,Breakfast,Upma,819.47
Apr2024,Breakfast,Dosa,804.77
Apr2024,Breakfast,Poha,786.68
Apr2024,Lunch,Rice,8228.81
Apr2024,Lunch,Sambar,2727.84
Apr2024,Lunch,Rajma,2294.11
Apr2024,Dinner,Roti,9099.88
Apr2024,Dinner,Aloo Gobi,3783.9
Apr2024,Dinner,Paneer Tikka,3002.27
May2024,Breakfast,Upma,1141.64
May2024,Breakfast,Idli,1087.31
May2024,Breakfast,Puri,1046.66
May2024,Lunch,Rice,8646.41
May2024,Lunch,Palak Paneer,2517.63
May2024,Lunch,Curd Rice,2158.44
May2024,Dinner,Roti,10201.39
May2024,Dinner,Paneer Butter Masala,3701.32
May2024,Dinner,Shahi Paneer,3695.95
Jun2024,Breakfast,Dosa,990.38
Jun2024,Breakfast,Idli,989.76
Jun2024,Breakfast,Puri,901.76
Jun2024,Lunch,Rice,8181.49
Jun2024,Lunch,Mixed Vegetables,2729.4
Jun2024,Lunch,Chole,2246.16
Jun2024,Dinner,Roti,9159.31
Jun2024,Dinner,Bhindi Fry,3161.52
Jun2024,Dinner,Shahi Paneer,2539.91
Jul2024,Breakfast,Dosa,1066.2
Jul2024,Breakfast,Upma,1046.77
Jul2024,Breakfast,Puri,988.31
Jul2024,Lunch,Rice,8516.59
Jul2024,Lunch,Curd Rice,2209.29
Jul2024,Lunch,Sambar,2195.63
Jul2024,Dinner,Roti,9550.43
Jul2024,Dinner,Paneer Tikka,4043.6
Jul2024,Dinner,Bhindi Fry,3909.61
Aug2024,Breakfast,Idli,1253.7
Aug2024,Breakfast,Dosa,1167.38
Aug2024,Breakfast,Upma,820.11
Aug2024,Lunch,Rice,8524.7
Aug2024,Lunch,Chole,2490.9
Aug2024,Lunch,Mixed Vegetables,2112.2
Aug2024,Dinner,Roti,9606.63
Aug2024,Dinner,Chana Masala,3323.22
Aug2024,Dinner,Shahi Paneer,3100.75
