Week,Date Range,Meal,Dish Name,Quantity (kg)
Aug2023_week1,01/08/2023-07/08/2023,Breakfast,Puri,372.85
Aug2023_week1,01/08/2023-07/08/2023,Breakfast,Dosa,261.66
Aug2023_week1,01/08/2023-07/08/2023,Breakfast,Upma,228.87
Aug2023_week1,01/08/2023-07/08/2023,Lunch,Rice,1894.74
Aug2023_week1,01/08/2023-07/08/2023,Lunch,Rasam,817.57
Aug2023_week1,01/08/2023-07/08/2023,Lunch,Mixed Vegetables,736.97
Aug2023_week1,01/08/2023-07/08/2023,Dinner,Roti,1966.04
Aug2023_week1,01/08/2023-07/08/2023,Dinner,Bhindi Fry,893.54
Aug2023_week1,01/08/2023-07/08/2023,Dinner,Paneer Tikka,836.67
Aug2023_week2,08/08/2023-14/08/2023,Breakfast,Dosa,364.53
Aug2023_week2,08/08/2023-14/08/2023,Breakfast,Upma,220.58
Aug2023_week2,08/08/2023-14/08/2023,Breakfast,Puri,218.72
Aug2023_week2,08/08/2023-14/08/2023,Lunch,Rice,1949.21
Aug2023_week2,08/08/2023-14/08/2023,Lunch,Palak Paneer,763.09
Aug2023_week2,08/08/2023-14/08/2023,Lunch,Rajma,731.29
Aug2023_week2,08/08/2023-14/08/2023,Dinner,Roti,2167.01
Aug2023_week2,08/08/2023-14/08/2023,Dinner,Tandoori Roti,909.47
Aug2023_week2,08/08/2023-14/08/2023,Dinner,Dal Makhani,671.81
Aug2023_week3,15/08/2023-21/08/2023,Breakfast,Idli,270.31
Aug2023_week3,15/08/2023-21/08/2023,Breakfast,Poha,245.3
Aug2023_week3,15/08/2023-21/08/2023,Breakfast,Puri,223.75
Aug2023_week3,15/08/2023-21/08/2023,Lunch,Rice,1926.88
Aug2023_week3,15/08/2023-21/08/2023,Lunch,Dal Tadka,789.39
Aug2023_week3,15/08/2023-21/08/2023,Lunch,Curd Rice,522.27
Aug2023_week3,15/08/2023-21/08/2023,Dinner,Roti,2252.89
Aug2023_week3,15/08/2023-21/08/2023,Dinner,Bhindi Fry,891.43
Aug2023_week3,15/08/2023-21/08/2023,Dinner,Dal Makhani,823.03
Aug2023_week4,22/08/2023-28/08/2023,Breakfast,Idli,460.79
Aug2023_week4,22/08/2023-28/08/2023,Breakfast,Upma,227.5
Aug2023_week4,22/08/2023-28/08/2023,Breakfast,Samosa,225.1
Aug2023_week4,22/08/2023-28/08/2023,Lunch,Rice,1881.6
Aug2023_week4,22/08/2023-28/08/2023,Lunch,Chole,974.77
Aug2023_week4,22/08/2023-28/08/2023,Lunch,Palak Paneer,740.91
Aug2023_week4,22/08/2023-28/08/2023,Dinner,Roti,2283.39
Aug2023_week4,22/08/2023-28/08/2023,Dinner,Paneer Tikka,1175.81
Aug2023_week4,22/08/2023-28/08/2023,Dinner,Tandoori Roti,915.66
Aug2023_week5,29/08/2023-31/08/2023,Breakfast,Idli,184.47
Aug2023_week5,29/08/2023-31/08/2023,Breakfast,Chole Bhature,123.35
Aug2023_week5,29/08/2023-31/08/2023,Breakfast,Medu Vada,121.34
Aug2023_week5,29/08/2023-31/08/2023,Lunch,Rice,784.76
Aug2023_week5,29/08/2023-31/08/2023,Lunch,Chole,293.22
Aug2023_week5,29/08/2023-31/08/2023,Lunch,Sambar,261.1
Aug2023_week5,29/08/2023-31/08/2023,Dinner,Roti,820.15
Aug2023_week5,29/08/2023-31/08/2023,Dinner,Chana Masala,603.16
Aug2023_week5,29/08/2023-31/08/2023,Dinner,Aloo Gobi,351.61
Sep2023_week1,01/09/2023-07/09/2023,Breakfast,Idli,270.1
