Week,Date Range,Meal,Dish Name,Quantity (kg)
Aug2023_week1,01/08/2023-07/08/2023,Breakfast,Dosa,
Aug2023_week1,01/08/2023-07/08/2023,Breakfast,Coconut Chutney,
Aug2023_week1,01/08/2023-07/08/2023,Breakfast,Sambhar,
Aug2023_week1,01/08/2023-07/08/2023,Lunch,Dal,
Aug2023_week1,01/08/2023-07/08/2023,Lunch,Paneer Curry,
Aug2023_week1,01/08/2023-07/08/2023,Lunch,Rajma,
Aug2023_week1,01/08/2023-07/08/2023,Dinner,Shahi Paneer,
Aug2023_week1,01/08/2023-07/08/2023,Dinner,Bhindi Fry,
Aug2023_week1,01/08/2023-07/08/2023,Dinner,Matar Mushroom,
Aug2023_week2,08/08/2023-14/08/2023,Breakfast,Idli,
Aug2023_week2,08/08/2023-14/08/2023,Breakfast,Sambhar,
Aug2023_week2,08/08/2023-14/08/2023,Breakfast,Coconut Chutney,
Aug2023_week2,08/08/2023-14/08/2023,Lunch,Paneer Curry,
Aug2023_week2,08/08/2023-14/08/2023,Lunch,Dal,
Aug2023_week2,08/08/2023-14/08/2023,Lunch,Paneer Masala,
Aug2023_week2,08/08/2023-14/08/2023,Dinner,Bhindi Fry,
Aug2023_week2,08/08/2023-14/08/2023,Dinner,Kadhi,
Aug2023_week2,08/08/2023-14/08/2023,Dinner,Chole,
Aug2023_week3,15/08/2023-21/08/2023,Breakfast,Curd,
Aug2023_week3,15/08/2023-21/08/2023,Breakfast,Chutney,
Aug2023_week3,15/08/2023-21/08/2023,Breakfast,Aloo Paratha,
Aug2023_week3,15/08/2023-21/08/2023,Lunch,Mixed Veg,
Aug2023_week3,15/08/2023-21/08/2023,Lunch,Chana Masala,
Aug2023_week3,15/08/2023-21/08/2023,Lunch,Paneer Bhurji,
Aug2023_week3,15/08/2023-21/08/2023,Dinner,Bhindi Fry,
Aug2023_week3,15/08/2023-21/08/2023,Dinner,Shahi Paneer,
Aug2023_week3,15/08/2023-21/08/2023,Dinner,Matar Mushroom,
Aug2023_week4,22/08/2023-28/08/2023,Breakfast,Idli,
Aug2023_week4,22/08/2023-28/08/2023,Breakfast,Curd,
Aug2023_week4,22/08/2023-28/08/2023,Breakfast,Aloo Paratha,
Aug2023_week4,22/08/2023-28/08/2023,Lunch,Rajma,
Aug2023_week4,22/08/2023-28/08/2023,Lunch,Aloo Gobi,
Aug2023_week4,22/08/2023-28/08/2023,Lunch,Paneer Bhurji,
Aug2023_week4,22/08/2023-28/08/2023,Dinner,Paneer Butter Masala,
