Week,Date Range,Meal,Most Consumed Dishes (kg),Least Consumed Dishes (kg)
Aug2023_week1,01/08/2023-07/08/2023,Breakfast,Puri: 372.85; Dosa: 261.66; Upma: 228.87,Aloo Paratha: 93.32; Chole Bhature: 117.07; Poha: 117.20
Aug2023_week1,01/08/2023-07/08/2023,Lunch,Rice: 1894.74; Rasam: 817.57; Mixed Vegetables: 736.97,Dal Tadka: 206.24; Sambar: 234.17; Rajma: 242.73
Aug2023_week1,01/08/2023-07/08/2023,Dinner,Roti: 1966.04; Bhindi Fry: 893.54; Paneer Tikka: 836.67,Shahi Paneer: 297.46; Dal Makhani: 311.08; Chana Masala: 349.99
Aug2023_week2,08/08/2023-14/08/2023,Breakfast,Dosa: 364.53; Upma: 220.58; Puri: 218.72,Samosa: 76.76; Aloo Paratha: 92.09; Idli: 93.23
Aug2023_week2,08/08/2023-14/08/2023,Lunch,Rice: 1949.21; Palak Paneer: 763.09; Rajma: 731.29,Mixed Vegetables: 214.45; Dal Tadka: 285.24; Sambar: 285.76
Aug2023_week2,08/08/2023-14/08/2023,Dinner,Roti: 2167.01; Tandoori Roti: 909.47; Dal Makhani: 671.81,Aloo Gobi: 296.89; Shahi Paneer: 297.15; Bhindi Fry: 302.72
Aug2023_week3,15/08/2023-21/08/2023,Breakfast,Idli: 270.31; Poha: 245.30; Puri: 223.75,Upma: 72.91; Chole Bhature: 123.20; Samosa: 148.08
Aug2023_week3,15/08/2023-21/08/2023,Lunch,Rice: 1926.88; Dal Tadka: 789.39; Curd Rice: 522.27,Rajma: 307.81; Mixed Vegetables: 411.66; Palak Paneer: 414.74
Aug2023_week3,15/08/2023-21/08/2023,Dinner,Roti: 2252.89; Bhindi Fry: 891.43; Dal Makhani: 823.03,Paneer Tikka: 537.55; Chana Masala: 556.66; Shahi Paneer: 584.05
Aug2023_week4,22/08/2023-28/08/2023,Breakfast,Idli: 460.79; Upma: 227.50; Samosa: 225.10,Aloo Paratha: 44.89; Medu Vada: 58.94; Dosa: 88.19
Aug2023_week4,22/08/2023-28/08/2023,Lunch,Rice: 1881.60; Chole: 974.77; Palak Paneer: 740.91,Rasam: 207.77; Dal Tadka: 217.23; Rajma: 239.12
Aug2023_week4,22/08/2023-28/08/2023,Dinner,Roti: 2283.39; Paneer Tikka: 1175.81; Tandoori Roti: 915.66,Shahi Paneer: 280.60; Bhindi Fry: 311.53; Aloo Gobi: 312.24
Aug2023_week5,29/08/2023-31/08/2023,Breakfast,Idli: 184.47; Chole Bhature: 123.35; Medu Vada: 121.34,Aloo Paratha: 44.27; Upma: 73.18; Samosa: 73.49
Aug2023_week5,29/08/2023-31/08/2023,Lunch,Rice: 784.76; Chole: 293.22; Sambar: 261.10,Dal Tadka: 212.43; Rajma: 216.10; Palak Paneer: 220.50
Aug2023_week5,29/08/2023-31/08/2023,Dinner,Roti: 820.15; Chana Masala: 603.16; Aloo Gobi: 351.61,Bhindi Fry: 292.12; Paneer Tikka: 294.48; Shahi Paneer: 312.56
Sep2023_week1,01/09/2023-07/09/2023,Breakfast,Idli: 270.10; Upma: 222.96; Samosa: 219.59,Poha: 58.18; Dosa: 93.51; Chole Bhature: 119.72
Sep2023_week1,01/09/2023-07/09/2023,Lunch,Rice: 1897.28; Rasam: 637.89; Dal Tadka: 636.86,Curd Rice: 204.97; Mixed Vegetables: 249.45; Rajma: 501.07
Sep2023_week1,01/09/2023-07/09/2023,Dinner,Roti: 2196.56; Aloo Gobi: 876.06; Bhindi Fry: 864.88,Paneer Tikka: 274.01; Tandoori Roti: 283.36; Chana Masala: 580.83
Sep2023_week2,08/09/2023-14/09/2023,Breakfast,Idli: 629.34; Chole Bhature: 182.85; Upma: 149.13,Poha: 60.02; Samosa: 76.73; Aloo Paratha: 91.79
Sep2023_week2,08/09/2023-14/09/2023,Lunch,Rice: 2008.58; Rajma: 1151.72; Sambar: 718.89,Curd Rice: 202.20; Dal Tadka: 210.33; Palak Paneer: 262.90
Sep2023_week2,08/09/2023-14/09/2023,Dinner,Roti: 2122.25; Chana Masala: 989.30; Shahi Paneer: 966.61,Bhindi Fry: 288.16; Tandoori Roti: 309.05; Dal Makhani: 582.94
Sep2023_week3,15/09/2023-21/09/2023,Breakfast,Samosa: 377.65; Poha: 184.15; Idli: 174.96,Dosa: 90.64; Aloo Paratha: 92.04; Chole Bhature: 119.28
Sep2023_week3,15/09/2023-21/09/2023,Lunch,Rice: 1933.30; Palak Paneer: 744.80; Curd Rice: 679.21,Mixed Vegetables: 310.08; Chole: 466.33; Dal Tadka: 516.15
Sep2023_week3,15/09/2023-21/09/2023,Dinner,Roti: 2134.88; Chana Masala: 889.80; Dal Makhani: 675.64,Paneer Tikka: 287.61; Tandoori Roti: 600.81; Shahi Paneer: 608.96
Sep2023_week4,22/09/2023-28/09/2023,Breakfast,Puri: 305.21; Chole Bhature: 303.33; Upma: 225.39,Poha: 58.58; Medu Vada: 120.27; Samosa: 144.76
Sep2023_week4,22/09/2023-28/09/2023,Lunch,Rice: 1983.31; Rasam: 795.48; Sambar: 549.90,Dal Tadka: 201.57; Rajma: 409.97; Chole: 410.36
Sep2023_week4,22/09/2023-28/09/2023,Dinner,Roti: 1980.75; Bhindi Fry: 1230.24; Aloo Gobi: 936.08,Paneer Tikka: 243.65; Dal Makhani: 293.55; Paneer Butter Masala: 299.67
Sep2023_week5,29/09/2023-30/09/2023,Breakfast,Upma: 152.97; Medu Vada: 120.03; Poha: 62.94,Chole Bhature: 59.76; Poha: 62.94; Medu Vada: 120.03
Sep2023_week5,29/09/2023-30/09/2023,Lunch,Rice: 555.10; Rajma: 285.51; Rasam: 275.38,Sambar: 201.90; Mixed Vegetables: 202.56; Rasam: 275.38
Sep2023_week5,29/09/2023-30/09/2023,Dinner,Roti: 660.14; Aloo Gobi: 525.38; Bhindi Fry: 290.55,Paneer Butter Masala: 275.24; Bhindi Fry: 290.55; Aloo Gobi: 525.38
Oct2023_week1,01/10/2023-07/10/2023,Breakfast,Dosa: 273.35; Upma: 227.75; Samosa: 225.33,Puri: 77.41; Idli: 93.12; Medu Vada: 115.79
Oct2023_week1,01/10/2023-07/10/2023,Lunch,Rice: 1906.71; Dal Tadka: 873.28; Mixed Vegetables: 841.63,Rajma: 214.51; Chole: 436.74; Palak Paneer: 465.95
Oct2023_week1,01/10/2023-07/10/2023,Dinner,Roti: 2329.50; Chana Masala: 905.13; Paneer Butter Masala: 639.61,Tandoori Roti: 354.36; Paneer Tikka: 572.21; Aloo Gobi: 594.21
Oct2023_week2,08/10/2023-14/10/2023,Breakfast,Upma: 305.53; Samosa: 300.96; Dosa: 268.70,Aloo Paratha: 46.81; Poha: 60.39; Medu Vada: 121.29
Oct2023_week2,08/10/2023-14/10/2023,Lunch,Rice: 1883.93; Mixed Vegetables: 1000.04; Dal Tadka: 754.05,Curd Rice: 285.41; Chole: 308.24; Palak Paneer: 442.99
Oct2023_week2,08/10/2023-14/10/2023,Dinner,Roti: 2112.99; Chana Masala: 1154.39; Aloo Gobi: 656.77,Dal Makhani: 292.68; Paneer Butter Masala: 293.20; Bhindi Fry: 298.67
Oct2023_week3,15/10/2023-21/10/2023,Breakfast,Idli: 120.09; Puri: 97.64; Samosa: 76.62,Poha: 19.95; Upma: 25.20; Aloo Paratha: 29.71
Oct2023_week3,15/10/2023-21/10/2023,Lunch,Rice: 657.79; Curd Rice: 428.53; Sambar: 167.74,Mixed Vegetables: 67.36; Palak Paneer: 73.26; Chole: 96.58
Oct2023_week3,15/10/2023-21/10/2023,Dinner,Roti: 673.81; Bhindi Fry: 423.01; Paneer Tikka: 311.03,Tandoori Roti: 82.52; Shahi Paneer: 104.92; Aloo Gobi: 180.61
Oct2023_week4,22/10/2023-28/10/2023,Breakfast,Samosa: 224.30; Dosa: 211.56; Upma: 176.01,Medu Vada: 20.30; Chole Bhature: 20.54; Poha: 82.54
Oct2023_week4,22/10/2023-28/10/2023,Lunch,Rice: 1376.24; Curd Rice: 960.97; Mixed Vegetables: 523.59,Dal Tadka: 102.01; Chole: 360.50; Rajma: 495.94
Oct2023_week4,22/10/2023-28/10/2023,Dinner,Roti: 1464.22; Aloo Gobi: 734.97; Chana Masala: 696.11,Bhindi Fry: 95.23; Dal Makhani: 408.95; Paneer Tikka: 414.26
Oct2023_week5,29/10/2023-31/10/2023,Breakfast,Poha: 118.63; Chole Bhature: 117.90; Aloo Paratha: 91.88,Medu Vada: 57.50; Samosa: 75.03; Dosa: 87.96
Oct2023_week5,29/10/2023-31/10/2023,Lunch,Rice: 900.67; Sambar: 552.86; Palak Paneer: 295.61,Rajma: 205.13; Curd Rice: 211.19; Mixed Vegetables: 211.94
Oct2023_week5,29/10/2023-31/10/2023,Dinner,Roti: 959.61; Shahi Paneer: 576.61; Tandoori Roti: 365.43,Chana Masala: 237.56; Bhindi Fry: 291.45; Aloo Gobi: 312.21
Nov2023_week1,01/11/2023-07/11/2023,Breakfast,Upma: 224.21; Chole Bhature: 196.44; Aloo Paratha: 178.49,Idli: 28.56; Samosa: 77.17; Poha: 118.67
Nov2023_week1,01/11/2023-07/11/2023,Lunch,Rice: 1507.77; Rajma: 706.88; Dal Tadka: 530.36,Chole: 78.96; Curd Rice: 203.40; Mixed Vegetables: 212.77
Nov2023_week1,01/11/2023-07/11/2023,Dinner,Roti: 2049.17; Shahi Paneer: 1295.13; Paneer Butter Masala: 1075.87,Dal Makhani: 99.35; Paneer Tikka: 100.02; Aloo Gobi: 305.88
Nov2023_week2,08/11/2023-14/11/2023,Breakfast,Dosa: 148.56; Medu Vada: 136.52; Upma: 101.07,Poha: 39.90; Samosa: 49.66; Idli: 59.90
Nov2023_week2,08/11/2023-14/11/2023,Lunch,Rice: 977.02; Rasam: 509.19; Rajma: 436.11,Dal Tadka: 139.51; Chole: 175.13; Palak Paneer: 209.20
Nov2023_week2,08/11/2023-14/11/2023,Dinner,Roti: 1038.94; Tandoori Roti: 597.74; Bhindi Fry: 481.20,Shahi Paneer: 114.85; Dal Makhani: 191.31; Aloo Gobi: 197.66
Nov2023_week3,15/11/2023-21/11/2023,Breakfast,Upma: 301.57; Idli: 267.54; Dosa: 184.57,Medu Vada: 61.87; Samosa: 74.41; Puri: 76.50
Nov2023_week3,15/11/2023-21/11/2023,Lunch,Rice: 1894.46; Mixed Vegetables: 837.08; Rajma: 576.83,Palak Paneer: 206.24; Sambar: 216.14; Chole: 217.96
Nov2023_week3,15/11/2023-21/11/2023,Dinner,Roti: 2140.66; Tandoori Roti: 1283.93; Chana Masala: 935.05,Shahi Paneer: 245.40; Paneer Butter Masala: 302.83; Bhindi Fry: 307.14
Nov2023_week4,22/11/2023-28/11/2023,Breakfast,Dosa: 357.41; Puri: 293.94; Idli: 269.20,Medu Vada: 59.16; Aloo Paratha: 91.25; Chole Bhature: 124.06
Nov2023_week4,22/11/2023-28/11/2023,Lunch,Rice: 1921.07; Rajma: 765.23; Rasam: 550.48,Curd Rice: 203.94; Chole: 231.75; Palak Paneer: 297.75
Nov2023_week4,22/11/2023-28/11/2023,Dinner,Roti: 2077.47; Bhindi Fry: 934.79; Paneer Butter Masala: 894.98,Chana Masala: 290.03; Paneer Tikka: 290.27; Dal Makhani: 298.12
Nov2023_week5,29/11/2023-30/11/2023,Breakfast,Idli: 174.97; Upma: 151.68; Poha: 61.82,Aloo Paratha: 45.25; Poha: 61.82; Upma: 151.68
Nov2023_week5,29/11/2023-30/11/2023,Lunch,Rasam: 620.19; Rice: 537.55; Palak Paneer: 217.71,Sambar: 210.48; Palak Paneer: 217.71; Rice: 537.55
Nov2023_week5,29/11/2023-30/11/2023,Dinner,Chana Masala: 721.83; Roti: 613.63; Shahi Paneer: 290.67,Paneer Butter Masala: 290.11; Shahi Paneer: 290.67; Roti: 613.63
Dec2023_week1,01/12/2023-07/12/2023,Breakfast,Puri: 303.06; Idli: 281.53; Dosa: 270.72,Aloo Paratha: 91.72; Poha: 121.16; Samosa: 222.54
Dec2023_week1,01/12/2023-07/12/2023,Lunch,Rice: 1892.10; Sambar: 948.09; Chole: 592.46,Rajma: 205.60; Dal Tadka: 213.52; Rasam: 250.15
